;	Shine Monster Regeneration Table			V0.3															
;	Monster Group																		
#ignore	\o042																		
#exchange	#	\x20																	
																			
#table	MobRegenGroup																		
;		GroupID	Family	Regen Region															
;			Y/N	X	Y	X	Y	Range/Degree											
#record		KD_EnMaze02_06	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze02_07	KQ_G_Nox	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze02_07	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze02_08	KQ_G_Nox	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze02_08	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_01	KQ_G_Pixy	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_01	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_01	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_02	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_02	KQ_G_OrcCaptain	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_02	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_03	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_03	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_03	KQ_G_NaiadDemon	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_04	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_05	KQ_G_Shylph	4		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_06	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_07	KQ_G_Shylph	4		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_08	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_08	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_09	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_09	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_09	KQ_G_Pixy	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_10	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_10	KQ_G_OrcCaptain	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_10	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_11	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_11	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_12	KQ_G_Shylph	4		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_13	KQ_G_Shylph	4		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_14	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_15	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_15	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_15	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_16	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_16	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_17	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_17	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_18	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_18	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_19	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_19	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_20	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_20	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_21	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_21	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_22	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_22	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_23	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_23	KQ_G_Archon	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_24	KQ_G_Incubus	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_24	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_24	KQ_G_Shylph	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_25	KQ_G_Incubus	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_25	KQ_G_Archon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_26	KQ_G_Incubus	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_26	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_27	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_28	KQ_G_Pixy	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_28	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_28	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_29	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_29	KQ_G_OrcCaptain	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_29	KQ_G_NaiadDemon	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_30	KQ_G_Pixy	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_30	KQ_G_OrcCaptain	1		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_30	KQ_G_NaiadDemon	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_31	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_31	KQ_G_Archon	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_32	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_33	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_34	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_34	KQ_G_Archon	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze03_35	KQ_G_Shylph	2		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_01	KQ_G_Archon	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_02	KQ_G_Archon	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_03	KQ_G_Shylph	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_04	KQ_G_Shylph	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_05	KQ_G_Shylph	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_06	KQ_G_Archon	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_07	KQ_G_Incubus	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_08	KQ_G_Nox	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_09	KQ_G_BlackIncubus	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KD_EnMaze04_10	KQ_G_BlackIncubus	3		0	9	1	15	-4	5	-2	8	0	10	2	13	4	
																			
#end																			
