	;	Shine NPC table(ShineNPC.txt)																
;	#recordin	ShineNPC	EldFurnitureForestTall	Eld	14331	14780	56	1	Merchant	Item								
	#recordin	ShineNPC	RouGaianMaria	Eld	16638	15903	4	1	QuestNpc	Quest								
;	??? ???? ?? ?? NPC																	
	#recordin	ShineNPC	InvisibleMan	Eld	14504	12447	-116	1	QuestNpc	Quest								
	#recordin	ShineNPC	InvisibleMan	Eld	14179	12439	-116	1	QuestNpc	Quest								
;	??? ???? NPC																	
	#recordin	ShineNPC	Gate_Town	Eld	17389	13400	89	1	QuestNpc	Quest								
;	??? ?? npc ?? ????																	
	#recordin	ShineNPC	EldWarSkillMarty	Eld	12893	12729	-143	1	Merchant	Skill								
	#recordin	ShineNPC	EldPalSkillKeest	Eld	13529	12692	135	1	Merchant	Skill								
	#recordin	ShineNPC	EldScoSkillDeikid	Eld	13520	14180	46	1	Merchant	Skill								
	#recordin	ShineNPC	EldWizSkillWishis	Eld	12934	14189	-46	1	Merchant	Skill								
;	??? ?? npc ?? 																	
;	#recordin	ShineNPC	EldWarSkillMarty	Eld	16901	10406	-88	1	Merchant	Skill								
;	#recordin	ShineNPC	EldPalSkillKeest	Eld	10746	16068	-90	1	Merchant	Skill								
;	#recordin	ShineNPC	EldScoSkillDeikid	Eld	10634	10040	-153	1	Merchant	Skill								
;	#recordin	ShineNPC	EldWizSkillWishis	Eld	15119	15694	0	1	Merchant	Skill								
	#recordin	ShineNPC	EldGuardCaptainShutian	Eld	13571	13412	-91	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldGuardNus	Eld	17973	10584	-10	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldKidWorze	Eld	16445	13378	89	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldMrsMisen	Eld	16629	12068	147	1	QuestNpc	Quest								
;	#recordin	ShineNPC	EldFurnitureMctBiette	Eld	16970	15825	0	1	Merchant	Quest								
;	#recordin	ShineNPC	EldGuild	Eld	13865	10181	0	1	QuestNpc	Quest								
;	#recordin	ShineNPC	EldGaianBjurin	Eld	10310	11169	-96	1	QuestNpc	Quest								
;	#recordin	ShineNPC	EldCastleLordElderiss	Eld	10373	13430	-88	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldItemMctKenton	Eld	14630	14613	-14	1	Merchant	Item								
;	#recordin	ShineNPC	EldDiggerRoyquin	Eld	12916	10930	-175	1	Gatenpc	Gate								
;	#recordin	ShineNPC	Rachel	Eld	16562	13436	89	1	JobMaster	Job								
;	#recordin	ShineNPC	EldItemMctNina	Eld					JobMaster	Job								
	#recordin	ShineNPC	QM_Axel	Eld	16001	15886	0	1	Merchant	Item								
;	??? ?? npc																	
	#recordin	ShineNPC	EldGuildPredrick	Eld	10266	13436	-92	1	NPCMenu	Guild								
;	??? ?? ?? npc 																	
	#recordin	ShineNPC	Joker	Eld	13453	13445	-68	1	Merchant	Skill								
	#recordin	ShineNPC	Edge	Eld	13453	13353	-68	1	QuestNpc	Quest								
	#recordin	ShineNPC	Ring	Eld	13453	13539	-68	1	QuestNpc	Quest								
;	??? ?? ?? ???																	
;	#recordin	ShineNPC	EldSpeGuard02	Eld	16709	9195	175	0	Guard	Quest								
;	#recordin	ShineNPC	EldSpeGuard02	Eld	16499	9195	175	0	Guard	Quest								
;	??? ?? ? ?? ???																	
;	#recordin	ShineNPC	EldSpeGuard02	Eld	13321	9110	-179	0	Guard	Quest								
;	#recordin	ShineNPC	EldSpeGuard02	Eld	13113	9110	-179	0	Guard	Quest								
;	???? ?? ???																	
;	#recordin	ShineNPC	EldSpeGuard02	Eld	13652	16755	0	0	Guard	Quest								
;	#recordin	ShineNPC	EldArcGuard02	Eld	13442	16755	0	0	Guard	Quest								
;	??? ??? ???																	
;	#recordin	ShineNPC	EldSpeGuard02	Eld	18476	13589	90	0	Guard	Quest								
;	#recordin	ShineNPC	EldArcGuard02	Eld	18476	13210	90	0	Guard	Quest								
;	?? ?? ??? 																	
	#recordin	ShineNPC	EldSpeGuard02	Eld	11008	13147	-124	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Eld	11147	12944	-124	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard01	Eld	11008	13685	-48	1	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Eld	11147	13877	-48	0	Guard	Quest								
;	?? ?? ?? 																	
	#recordin	ShineNPC	EldArcGuard01	Eld	10505	13608	-90	1	Guard	Quest								
	#recordin	ShineNPC	EldArcGuard02	Eld	10505	13234	-90	0	Guard	Quest								
;	???? ??? ??																	
;	#recordin	ShineNPC	EldArcGuard02	Eld	17595	13693	83	0	Guard	Quest								
;	#recordin	ShineNPC	EldArcGuard02	Eld	17595	13133	86	0	Guard	Quest								
;	??? ???																	
;	#recordin	ShineNPC	EldArcGuard02	Eld	15665	10311	-92	0	Guard	Quest								
;	#recordin	ShineNPC	EldArcGuard02	Eld	16448	10319	94	0	Guard	Quest								
;	??? ???																	
	#recordin	ShineNPC	EldSpeGuard02	Eld	16188	11829	178	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Eld	15935	11833	177	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Eld	16194	10772	0	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Eld	15925	10764	0	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Eld	15844	9787	-179	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Eld	16268	9787	-179	0	Guard	Quest								
;	??? ??? npc																	
;	?? npc																	
	#recordin	ShineNPC	GrandMasterShone	RouVal01	12842	6467	134	1	QuestNpc	Quest								
;	??? ? 																	
;	?? ??																	
;	#recordin	ShineNPC	HouseZonePost	Eld	10870	11450	175	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	Eld	12172	9827	-87	1	QuestNpc	Quest								
;	?? ??																	
;	#recordin	ShineNPC	HouseZonePost	Eld	13973	14188	24	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	Eld	13974	16664	89	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	Eld	17821	16768	-72	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	Eld	17796	14180	-33	1	QuestNpc	Quest								
;	???																	
;	#recordin	ShineNPC	HouseZonePost	Eld	18282	11891	-176	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	Eld	17221	10531	88	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	Eld	18045	9289	0	1	QuestNpc	Quest								
;	?? ???																	
	#recordin	ShineNPC	EldCastleLordElderiss	Eld	10659	16064	-91	1	QuestNpc	Quest								
;	????? ??																	
;	#recordin	ShineNPC	ChristmasTree	Eld	16208	13247	-61	0	QuestNpc	Quest								
;	?? ?? ???																	
	#recordin	ShineNPC	WeddingDreian	Eld	10901	14942	-111	1	Merchant	Item								
;	??? npc																	
	#recordin	ShineNPC	UruSmithHans	Urg	6837	7418	54	1	Merchant	Weapon								
	#recordin	ShineNPC	UruItemMctVellon	Urg	6337	5022	0	1	Merchant	Item								
	#recordin	ShineNPC	UruTownChiefAdrien	Urg	7966	6638	76	1	QuestNpc	Quest								
	#recordin	ShineNPC	UruGuildLump	Urg	5496	7526	-45	1	NPCMenu	Guild								
;	#recordin	ShineNPC	UruFurnitureForestTeem	Urg	5897	5189	0	1	Merchant	Item								
	#recordin	ShineNPC	UruStoreCurly	Urg	6778	5067	-9	1	StoreManager	-								
	#recordin	ShineNPC	UruSkillChyburn	Urg	7909	8083	44	1	Merchant	Skill								
;	#recordin	ShineNPC	UruSkillChyburn2	Urg	7809	8083	44	1	Merchant	Skill								
;	#recordin	ShineNPC	GuildItemMct	Urg	5735	7607	89	1	Merchant	Guild								
	#recordin	ShineNPC	QM_Pitt	Urg	6423	8688	0	1	Merchant	Item								
	#recordin	ShineNPC	Q_Kassandra	Urg	11232	6519	122	1	QuestNpc	Quest								
	#recordin	ShineNPC	Q_Keroll	Urg	11157	6625	118	1	QuestNpc	Quest								
	#recordin	ShineNPC	Q_Lino	Urg	11123	6733	0	1	QuestNpc	Quest								
;	??? ???? NPC																	
;	#recordin	ShineNPC	Gate_Town	Urg	3819	5871	-103	1	QuestNpc	Quest								
;	??? ?? ???																	
;	#recordin	ShineNPC	EldSpeGuard02	Urg	7968	4901	-23	0	Guard	Quest								
;	#recordin	ShineNPC	EldSpeGuard02	Urg	7774	4790	-29	0	Guard	Quest								
;	??? ??? ???																	
;	#recordin	ShineNPC	EldSpeGuard02	Urg	5126	5209	50	0	Guard	Quest								
;	#recordin	ShineNPC	EldSpeGuard02	Urg	5002	5350	38	0	Guard	Quest								
;	??? ??? ???																	
;	#recordin	ShineNPC	EldSpeGuard02	Urg	4898	7634	136	0	Guard	Quest								
;	#recordin	ShineNPC	EldSpeGuard02	Urg	4687	7451	136	0	Guard	Quest								
;	?? npc ? ???																	
	#recordin	ShineNPC	EldSpeGuard02	Urg	7308	6371	79	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Urg	7247	6651	81	0	Guard	Quest								
;	?? npc ? ???																	
	#recordin	ShineNPC	EldSpeGuard02	Urg	5537	6178	-98	0	Guard	Quest								
	#recordin	ShineNPC	EldSpeGuard02	Urg	5501	6414	-95	0	Guard	Quest								
;	??? ? 																	
;	#recordin	ShineNPC	HouseZonePost	Urg	7513	6641	75	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	Urg	5347	5929	-98	1	QuestNpc	Quest								
;	????? ??																	
;	#recordin	ShineNPC	ChristmasTree	Urg	7757	6776	0	0	QuestNpc	Quest								
;	???? ?? npc																	
	#recordin	ShineNPC	HednisSkillGrunt	EldGbl02	9837	8621	131	1	Merchant	Skill								
	#recordin	ShineNPC	HednisSmithRohan	EldGbl02	9491	8688	113	1	Merchant	Weapon								
	#recordin	ShineNPC	HednisStoreDrein	EldGbl02	9472	8355	64	1	StoreManager	-								
;	???? ?? ???? NPC																	
	#recordin	ShineNPC	Gate_Town	EldGbl02	9306	9330	0	1	QuestNpc	Quest								
;	???? ?? ???																	
;	#recordin	ShineNPC	HednisArcGuard01	EldGbl02	8727	9989	147	0	Guard	Quest								
;	#recordin	ShineNPC	HednisFigGuard01	EldGbl02	8404	9761	141	0	Guard	Quest								
;	#recordin	ShineNPC	HednisArcGuard01	EldGbl02	10140	6903	0	0	Guard	Quest								
;	#recordin	ShineNPC	HednisFigGuard01	EldGbl02	10409	6947	0	0	Guard	Quest								
;	???? ?? ???																	
	#recordin	ShineNPC	HednisMageWoman	EldGbl02	10219	8891	0	0	QuestNpc	Quest								
	#recordin	ShineNPC	HednisClericMan	EldGbl02	10226	8830	157	0	QuestNpc	Quest								
;	??? ? ?? ??																	
	#recordin	ShineNPC	MctMasterMaxUtter	UrgFire01	23408	2215	101	1	Guard	Quest								
	#recordin	ShineNPC	ItemMctJelluin	UrgFire01	23558	2454	114	1	Merchant	Item								
;	#recordin	ShineNPC	mercenary01	UrgFire01	23260	2190	132	0	Guard	Quest								
;	#recordin	ShineNPC	mercenary02	UrgFire01	23225	2169	155	0	Guard	Quest								
;	??? ? ????																	
	#recordin	ShineNPC	EldStoreFranz	UrgFire01	23285	2099	149	1	StoreManager	-								
;	??? ? ?? ??																	
	#recordin	ShineNPC	PillarofLight	UrgFire01	2602	12731	0	1	Guard	Quest								
;	??? ? ?? npc																	
	#recordin	ShineNPC	DustAdventurer04	UrgSwa01	19887	15437	76	1	Guard	Quest								
	#recordin	ShineNPC	SecretaryCleo	UrgSwa01	10986	4052	0	1	Guard	Quest								
	#recordin	ShineNPC	DustAdventurer03	UrgSwa01	20536	12766	140	1	Guard	Quest								
	#recordin	ShineNPC	PriestMediang	UrgSwa01	20091	21870	0	1	Guard	Quest								
	#recordin	ShineNPC	UrgSwaItemMct	UrgSwa01	19296	7406	100	1	Merchant	Item								
	#recordin	ShineNPC	Q_Hugues	UrgSwa01	19202	6819	100	1	Guard	Quest								
	#recordin	ShineNPC	Q_Como	UrgSwa01	19067	7189	100	1	Guard	Quest								
	#recordin	ShineNPC	Q_Tiara	UrgSwa01	19077	7326	100	1	Guard	Quest								
;	??? ?? npc																	
	#recordin	ShineNPC	VegetarianGoblin	EldGbl01	3311	10724	0	1	Guard	Quest								
	#recordin	ShineNPC	SpyGoblin	EldGbl01	2778	12080	0	1	Guard	Quest								
;	??? ?? npc																	
	#recordin	ShineNPC	PatrolGuardianPolmon	EldPri02	2868	6142	49	1	Guard	Quest								
;	???? ?? npc																	
	#recordin	ShineNPC	AlruinChiefKiera	Urg_Alruin	6810	10138	71	1	QuestNpc	Quest								
	#recordin	ShineNPC	AlruinSmithMacurdos	Urg_Alruin	6593	7599	-175	1	Merchant	Weapon								
	#recordin	ShineNPC	AlruinStoreRel	Urg_Alruin	5655	11620	-31	1	StoreManager	-								
	#recordin	ShineNPC	AlruinItemMctGeric	Urg_Alruin	8160	9248	118	1	Merchant	Item								
	#recordin	ShineNPC	AlruinSkillPaela	Urg_Alruin	8847	12731	23	1	Merchant	Skill								
	#recordin	ShineNPC	AlruinTeiler	Urg_Alruin	6149	10470	98	1	QuestNpc	Quest								
	#recordin	ShineNPC	AlruinRick	Urg_Alruin	8330	10790	4	1	QuestNpc	Quest								
	#recordin	ShineNPC	Alruin_EarthStone	Urg_Alruin	10330	5820	147	1	QuestNpc	Quest								
	#recordin	ShineNPC	Alruin_FireStone	Urg_Alruin	4621	15332	-35	1	QuestNpc	Quest								
	#recordin	ShineNPC	Alruin_TreeStone	Urg_Alruin	10890	10364	114	1	QuestNpc	Quest								
	#recordin	ShineNPC	Alruin_WaterStone	Urg_Alruin	5158	5764	-28	1	QuestNpc	Quest								
	#recordin	ShineNPC	Alruin_WindStone	Urg_Alruin	9197	15114	35	1	QuestNpc	Quest								
	#recordin	ShineNPC	Q_Polan	Urg_Alruin	21090	19124	49	1	QuestNpc	Quest								
;	?? npc																	
	#recordin	ShineNPC	BeraChiefValiere	Bera	2218	4606	-87	1	QuestNpc	Quest								
	#recordin	ShineNPC	BeraMargentia	Bera	6371	6316	49	1	QuestNpc	Quest								
	#recordin	ShineNPC	BeraEtty	Bera	6789	6470	-44	1	QuestNpc	Quest								
	#recordin	ShineNPC	BeraDuskin	Bera	12231	10925	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	BeraAmelie	Bera	4928	3615	-77	1	QuestNpc	Quest								
	#recordin	ShineNPC	BeraItemMilly	Bera	5209	2109	-114	1	QuestNpc	Quest								
	#recordin	ShineNPC	BeraItemEdmong	Bera	6930	3409	3	1	Merchant	Item								
	#recordin	ShineNPC	BeraSmithMcDilan	Bera	5631	4626	-31	1	Merchant	Weapon								
	#recordin	ShineNPC	BeraSkillHal	Bera	7911	4138	59	1	Merchant	Skill								
	#recordin	ShineNPC	BeraStoreShane	Bera	6857	4242	118	1	StoreManager	Quest								
	#recordin	ShineNPC	BeraVillager	Bera	11391	4612	53	1	QuestNpc	Quest								
	#recordin	ShineNPC	BeraGuardArcher	Bera	6404	1295	-172	1	QuestNpc	Quest								
	#recordin	ShineNPC	QM_Brown	Adl	10544	13918	275	1	Merchant	Item								
;	????? ??																	
;	#recordin	ShineNPC	ChristmasTree	Bera	6545	3204	0	0	QuestNpc	Quest								
;	??? ?? NPC 																	
	#recordin	ShineNPC	SecretaryClio	UrgDark01	11522	21450	0	1	QuestNpc	Quest								
;	???A Quest NPC																	
	#recordin	ShineNPC	QuestMana	RouCos02	17486	13553	160	1	QuestNpc	Quest								
	#recordin	ShineNPC	QuestPin	RouCos02	18474	17300	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	PostQuest02	RouCos02	17290	14050	12	1	QuestNpc	Quest								
;	???B Quest NPC																	
	#recordin	ShineNPC	QuestMana	RouCos02_1	17486	13553	160	1	QuestNpc	Quest								
	#recordin	ShineNPC	QuestPin	RouCos02_1	18474	17300	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	PostQuest02	RouCos02_1	17290	14050	12	1	QuestNpc	Quest								
;	???? Quest NPC																	
;	#recordin	ShineNPC	QuestZen	RouCos01	8709	13552	-92	1	QuestNpc	Quest								
;	#recordin	ShineNPC	QuestReky	RouCos01	13096	14920	-130	1	QuestNpc	Quest								
;	#recordin	ShineNPC	QuestHogarth	RouCos01	12220	11278	25	1	QuestNpc	Quest								
;	#recordin	ShineNPC	QuestMatthias	RouCos01	12666	13146	-120	1	QuestNpc	Quest								
;	#recordin	ShineNPC	PostQuest01	RouCos01	8520	13825	-42	1	QuestNpc	Quest								
;	??? ??? Quest NPC																	
	#recordin	ShineNPC	PostQuest03	RouVal01	13011	6517	171	1	QuestNpc	Quest								
;	??? ?? Quest NPC																	
	#recordin	ShineNPC	PostQuest04	RouCos03	4674	5177	61	1	QuestNpc	Quest								
;	??? ??Quest NPC																	
	#recordin	ShineNPC	PostQuest05	RouVal02	4772	10687	179	1	QuestNpc	Quest								
;	???? ?? Quest NPC																	
	#recordin	ShineNPC	PostQuest06	EldGbl02	8520	10032	0	1	QuestNpc	Quest								
;	???? Quest NPC																	
	#recordin	ShineNPC	PostQuest07	EldCem02	1347	1525	0	1	QuestNpc	Quest								
;	???? Quest NPC																	
	#recordin	ShineNPC	PostQuest08	EldCem01	11390	1476	0	1	QuestNpc	Quest								
;	???? ?? ? Quest NPC																	
	#recordin	ShineNPC	PostQuest09	Linkfield01	3578	3301	31	1	QuestNpc	Quest								
;	??? ?? Quest NPC																	
	#recordin	ShineNPC	PostQuest10	EldGbl01	6535	7424	-123	1	QuestNpc	Quest								
;	??? Quest NPC																	
	#recordin	ShineNPC	PostQuest11	Urg	6358	5424	177	1	QuestNpc	Quest								
;	??? ?? ? Quest NPC																	
	#recordin	ShineNPC	PostQuest12	Linkfield02	2421	5909	-138	1	QuestNpc	Quest								
;	?? ?? ? Quest NPC																	
	#recordin	ShineNPC	PostQuest13	EldFor01	8345	17852	72	1	QuestNpc	Quest								
;	??? ?? ? Quest NPC																	
	#recordin	ShineNPC	PostQuest14	EldPri01	2578	1792	0	1	QuestNpc	Quest								
;	??? ? Quest NPC																	
	#recordin	ShineNPC	PostQuest15	EldSleep01	8955	9016	0	1	QuestNpc	Quest								
;	??? ?? Quest NPC																	
	#recordin	ShineNPC	PostQuest16	EldPri02	9976	3147	59	1	QuestNpc	Quest								
;	???? ?? Quest NPC																	
	#recordin	ShineNPC	PostQuest17	Urg_Alruin	6505	12214	-1	1	QuestNpc	Quest								
;	??? 1 Quest NPC																	
	#recordin	ShineNPC	PostQuest18	Croad01	2869	9980	143	1	QuestNpc	Quest								
;	??? ? Quest NPC																	
	#recordin	ShineNPC	PostQuest19	UrgFire01	3566	24170	109	1	QuestNpc	Quest								
;	??? ? Quest NPC																	
	#recordin	ShineNPC	PostQuest20	UrgSwa01	6687	3871	0	1	QuestNpc	Quest								
;	??? ?? Quest NPC																	
	#recordin	ShineNPC	PostQuest21	UrgDark01	23335	12927	-126	1	QuestNpc	Quest								
;	?? ?? Quest NPC																	
	#recordin	ShineNPC	PostQuest22	BerKal01	6040	4759	-24	1	QuestNpc	Quest								
;	?? NPC																	
	#recordin	ShineNPC	EldDiggerRoyquin	RouCos02	20936	16368	93	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldDiggerRoyquin	RouCos02_1	20936	16368	93	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldDiggerRoyquin	RouVal01	21024	16543	20	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldDiggerRoyquin	RouCos03	7419	6674	83	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldDiggerRoyquin	EchoCave	2073	2762	-18	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldDiggerRoyquin	EchoCave	9312	22263	-25	1	QuestNpc	Quest								
	#recordin	ShineNPC	EldDiggerRoyquin	EchoCave	18686	5287	48	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	EldCem01	11322	11599	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	EldCem02	908	5403	-26	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	EldGbl01	11516	5753	101	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	EldGbl02	1992	7660	-145	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	WindyCave	18602	5130	-136	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	WindyCave	4513	18578	-33	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	WindyCave	23253	23681	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerPalmers	WindyCave	2271	2559	143	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerDolTurn	EldPri01	12087	4927	64	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerDolTurn	EldFor01	11015	7416	150	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerDolTurn	EldSleep01	11424	18829	-11	1	QuestNpc	Quest								
