;	Shine Monster Regeneration Table			V0.3																
;	Monster Group																			
#ignore	\o042																			
#exchange	#	\x20																		
																				
#table	MobRegenGroup																			
;		GroupID	Family	Regen Region																
;			Y/N	X	Y	X	Y	Range/Degree												
#record		EldSleep01_019	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_020	ElvenTree	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_021	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_022	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_023	ElvenTree	4	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_024	ElvenTree	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_025	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_026	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_027	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_028	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_029	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_030	ElvenTree	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_031	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_031	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_032	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_032	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_033	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_033	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_034	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_034	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_035	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_035	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_036	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_036	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_037	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_037	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_038	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_038	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_039	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_039	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_040	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_040	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_041	Stonie	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_041	Stonie	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_042	Stonie	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_042	Stonie	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_043	Stonie	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_043	Stonie	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_044	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_044	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_045	Stonie	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_045	Stonie	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_046	Stonie	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_046	Stonie	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_047	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_047	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_048	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_048	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_049	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_049	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_050	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_050	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_051	Stonie	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_052	Stonie	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_053	RedStonie	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_054	RedStonie	4	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER1	FLOWER7	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER2	FLOWER7	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER3	FLOWER7	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER4	FLOWER7	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER5	FLOWER7	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER6	FLOWER8	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER7	FLOWER8	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER8	FLOWER8	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER9	FLOWER8	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		FLOWER10	FLOWER8	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		HERB1	HERB6	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		HERB2	HERB7	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		WOOD8	WOOD8	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		WOOD9	WOOD9	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		MUSHROOM8	MUSHROOM8	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		MUSHROOM9	MUSHROOM9	5	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01P01	PresentBox11	1	0	14400	14396	14404	-4	5	-2	8	0	10	2	13	4			
#record		EldSleep01P02	PresentBox12	1	0	14400	14396	14404	-4	5	-2	8	0	10	2	13	4			
#record		EldSleep01Guard01	GuardLue02	1	0	15	11	20	-6	11	-3	14	6	17	8	20	0			
#record		EldSleep01Guard02	GuardLue02	1	0	15	11	20	-6	11	-3	14	6	17	8	20	0			
#record		EldSleep01_H1_01	RedShylph	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H1_02	GiantElvenTree	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H1_03	PrinceRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H1_04	PrincessRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H1_05	MarvellBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H1_06	AlkemisBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H2_01	RedShylph	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H2_02	GiantElvenTree	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H2_03	PrinceRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H2_04	PrincessRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H2_05	MarvellBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H2_06	AlkemisBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H3_01	RedShylph	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H3_02	GiantElvenTree	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H3_03	PrinceRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H3_04	PrincessRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H3_05	MarvellBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H3_06	AlkemisBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H4_01	RedShylph	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H4_02	GiantElvenTree	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H4_03	PrinceRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H4_04	PrincessRaplan	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H4_05	MarvellBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
#record		EldSleep01_H4_06	AlkemisBook00	1	0	80	40	120	-60	40	-30	56	30	104	60	120	0			
																				
#end																				
