;	Shine Monster Regeneration Table			V0.3																
;	Monster Group																			
#ignore	\o042																			
#exchange	#	\x20																		
																				
#table	MobRegenGroup																			
;		GroupID	Family	Regen Region																
;			Y/N	X	Y	X	Y	Range/Degree												
#record		EldPriDn01_033	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_034	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_035	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_036	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_037	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_038	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_039	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_040	NoxA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_041	NoxHunterA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_042	NoxHunterA	5	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_043	NoxHunterA	5	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_044	NoxHunterA	7	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_045	NoxHunterA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_046	NoxHunterA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_047	NoxHunterA	6	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_048	NoxHunterA	4	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_049	NoxHunterA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01_050	NoxHunterA	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01P01	PresentBox12	1	0	14400	14396	14404	-4	5	-2	8	0	10	2	13	4			
#record		PriDn01_Mine01	MINE6	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine02	MINE6	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine03	MINE6	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine04	MINE6	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine05	MINE6	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine06	MINE7	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine07	MINE7	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine08	MINE7	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine09	MINE7	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		PriDn01_Mine10	MINE7	3	0	48	29	67	-18	29	-9	39	19	57	24	67	0			
#record		EldPriDn01Guard01	GuardMihael02	1	0	45	28	63	-18	28	-9	37	18	54	23	63	0			
#record		EldPriDn01Guard02	GuardMihael02	1	0	45	28	63	-18	28	-9	37	18	54	23	63	0			
																				
#end																				
